book_id,lemma,year,frequency
10148,abashed,2003,2
10148,abbey,2003,21
10148,abbeys,2003,1
10148,abbot,2003,8
10148,abed,2003,1
10148,abide,2003,16
10148,abided,2003,10
10148,abiding,2003,10
10148,ablaze,2003,2
10148,able,2003,7
10148,above,2003,14
10148,abraham,2003,2
10148,abroad,2003,7
10148,accept,2003,1
10148,accepted,2003,2
10148,accepting,2003,1
10148,access,2003,10
10148,accessed,2003,1
10148,accessible,2003,1
10148,accident,2003,1
10148,accompanied,2003,1
10148,accord,2003,1
10148,accordance,2003,2
10148,according,2003,6
10148,accordingly,2003,3
10148,account,2003,4
10148,ache,2003,1
10148,ached,2003,2
10148,achieve,2003,1
10148,achieved,2003,1
10148,aching,2003,2
10148,acorns,2003,1
10148,acquaint,2003,2
10148,acquaintance,2003,2
10148,acquainted,2003,3
10148,acre,2003,1
10148,acres,2003,1
10148,across,2003,52
10148,act,2003,1
10148,acted,2003,1
10148,acting,2003,1
10148,action,2003,1
10148,active,2003,2
10148,actual,2003,1
10148,adam,2003,11
10148,add,2003,3
10148,added,2003,1
10148,adder,2003,1
10148,addition,2003,1
10148,additional,2003,3
10148,additions,2003,1
10148,address,2003,1
10148,addresses,2003,1
10148,adds,2003,1
10148,adjudged,2003,1
10148,ado,2003,14
10148,adown,2003,2
10148,advantage,2003,1
10148,adventure,2003,15
10148,adventures,2003,15
10148,adversity,2003,2
10148,advice,2003,3
10148,advise,2003,2
10148,advised,2003,2
10148,aelfrida,2003,2
10148,afar,2003,3
10148,affairs,2003,4
10148,afforded,2003,3
10148,affright,2003,1
10148,affrighted,2003,1
10148,afield,2003,1
10148,afoot,2003,3
10148,afoul,2003,1
10148,afraid,2003,7
10148,after,2003,133
10148,afternoon,2003,7
10148,afterward,2003,2
10148,again,2003,207
10148,against,2003,83
10148,agape,2003,4
10148,age,2003,4
10148,aged,2003,3
10148,agen,2003,1
10148,agent,2003,2
10148,ago,2003,5
10148,agone,2003,1
10148,agree,2003,9
10148,agreed,2003,1
10148,agreement,2003,19
10148,ague,2003,1
10148,ah,2003,2
10148,aha,2003,4
10148,ahead,2003,6
10148,aid,2003,22
10148,aided,2003,2
10148,aiding,2003,2
10148,aids,2003,2
10148,aim,2003,4
10148,air,2003,23
10148,aisle,2003,2
10148,aisles,2003,1
10148,akimbo,2003,1
10148,alack,2003,5
10148,alarum,2003,1
10148,alas,2003,30
10148,albans,2003,7
10148,albeit,2003,19
10148,aldermen,2003,1
10148,ale,2003,81
10148,alehouse,2003,1
10148,alfred,2003,1
10148,alighted,2003,1
10148,alighting,2003,1
10148,alike,2003,5
10148,alive,2003,6
10148,all,2003,840
10148,allan,2003,63
10148,allen,2003,3
10148,allow,2003,1
10148,allowed,2003,1
10148,allows,2003,1
10148,almost,2003,4
10148,aloft,2003,22
10148,alone,2003,12
10148,along,2003,107
10148,aloud,2003,35
10148,already,2003,11
10148,also,2003,93
10148,altar,2003,2
10148,alteration,2003,1
10148,alternate,2003,1
10148,although,2003,8
10148,altogether,2003,2
10148,alverton,2003,1
10148,alway,2003,1
10148,always,2003,13
10148,am,2003,119
10148,amain,2003,4
10148,amaze,2003,2
10148,amazed,2003,3
10148,amazedly,2003,3
10148,amazement,2003,1
10148,ambling,2003,1
10148,ambrose,2003,1
10148,ambush,2003,1
10148,amen,2003,1
10148,amid,2003,12
10148,amidst,2003,3
10148,amiss,2003,1
10148,among,2003,56
10148,amyas,2003,1
10148,ancaster,2003,8
10148,anchorite,2003,1
10148,ancient,2003,3
10148,anew,2003,2
10148,angels,2003,16
10148,anger,2003,21
10148,angrily,2003,2
10148,angry,2003,29
10148,anhungered,2003,1
10148,anon,2003,13
10148,another,2003,93
10148,answer,2003,9
10148,answered,2003,49
10148,answering,2003,1
10148,ant,2003,1
10148,ants,2003,1
10148,anxious,2003,1
10148,anxiously,2003,1
10148,any,2003,94
10148,anybody,2003,2
